Season,Competition Group,Competition,Week Date,Fixture Location,Time of Match,Team_Role,Team,Opponent,Team_Score,Opponent_Score,Result
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-23,Battersea Park - Far Pitch,Completed,Home,Wanderers W1,PHC Chiswick W1,2.0,0.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-23,Battersea Park - Far Pitch,Completed,Away,PHC Chiswick W1,Wanderers W1,0.0,2.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-23,Surbiton HC - Pitch 2,Completed,Home,Surbiton W3,Wimbledon W3,2.0,0.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-23,Surbiton HC - Pitch 2,Completed,Away,Wimbledon W3,Surbiton W3,0.0,2.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-23,Southgate Hockey Centre Pitch 1,Completed,Home,Southgate W2,Barnes W2,1.0,0.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-23,Southgate Hockey Centre Pitch 1,Completed,Away,Barnes W2,Southgate W2,0.0,1.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-30,Dukes Meadow pitch,Completed,Home,Barnes W2,Wanderers W1,5.0,1.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-30,Dukes Meadow pitch,Completed,Away,Wanderers W1,Barnes W2,1.0,5.0,Loss
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-30,Alleyns School,Completed,Home,Tulse Hill & Dulwich W1,London Wayfarers W2,3.0,1.0,Win
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-30,Alleyns School,Completed,Away,London Wayfarers W2,Tulse Hill & Dulwich W1,1.0,3.0,Loss
